# data from file /Users/tpaneque/Library/CloudStorage/Dropbox/Documents_MAC_ESO/MAPS/hd163296/HD_163296_CO_220GHz.robust_0.5.JvMcorr.image.fits
# parameters used:
# PA: -133.3
# inc: 46.7
# dist: 101.0 
# vsys: 5800.0 
# Xmax: 800 
# Zmax: 300
# r[au] h[au] temp[K] std_temp[K]
2.400000000000000000e+01 3.000000000000000000e+00 3.584621810913085938e+01 1.074787139892578125e+00
2.400000000000000000e+01 4.000000000000000000e+00 3.937663650512695312e+01 0.000000000000000000e+00
2.400000000000000000e+01 1.100000000000000000e+01 3.134217643737792969e+01 0.000000000000000000e+00
2.500000000000000000e+01 0.000000000000000000e+00 3.044277954101562500e+01 0.000000000000000000e+00
2.500000000000000000e+01 4.000000000000000000e+00 3.741359233856201172e+01 2.193739997508493023e+00
2.500000000000000000e+01 6.000000000000000000e+00 3.326544570922851562e+01 0.000000000000000000e+00
2.500000000000000000e+01 7.000000000000000000e+00 3.714443206787109375e+01 0.000000000000000000e+00
2.600000000000000000e+01 0.000000000000000000e+00 3.034863471984863281e+01 1.554525375366210938e+00
2.600000000000000000e+01 3.000000000000000000e+00 3.824651527404785156e+01 1.403141021728515625e-01
2.600000000000000000e+01 6.000000000000000000e+00 3.596688842773437500e+01 0.000000000000000000e+00
2.600000000000000000e+01 9.000000000000000000e+00 3.271653747558593750e+01 0.000000000000000000e+00
2.700000000000000000e+01 0.000000000000000000e+00 3.288304519653320312e+01 0.000000000000000000e+00
2.700000000000000000e+01 4.000000000000000000e+00 4.279935836791992188e+01 0.000000000000000000e+00
2.700000000000000000e+01 6.000000000000000000e+00 4.149083709716796875e+01 0.000000000000000000e+00
2.700000000000000000e+01 8.000000000000000000e+00 2.780031394958496094e+01 0.000000000000000000e+00
2.800000000000000000e+01 3.000000000000000000e+00 4.007345390319824219e+01 1.963830947875976562e+00
2.800000000000000000e+01 4.000000000000000000e+00 3.283089065551757812e+01 0.000000000000000000e+00
2.800000000000000000e+01 5.000000000000000000e+00 3.731213378906250000e+01 0.000000000000000000e+00
2.800000000000000000e+01 8.000000000000000000e+00 3.927097702026367188e+01 1.266490936279296875e+00
2.900000000000000000e+01 6.000000000000000000e+00 3.191083908081054688e+01 9.297756195068359375e+00
2.900000000000000000e+01 8.000000000000000000e+00 4.537472152709960938e+01 0.000000000000000000e+00
3.000000000000000000e+01 3.000000000000000000e+00 3.764517593383789062e+01 7.794761657714843750e-01
3.000000000000000000e+01 4.000000000000000000e+00 3.993466567993164062e+01 0.000000000000000000e+00
3.000000000000000000e+01 5.000000000000000000e+00 3.801355616251627367e+01 6.359208111261006380e+00
3.000000000000000000e+01 7.000000000000000000e+00 3.464095306396484375e+01 0.000000000000000000e+00
3.000000000000000000e+01 8.000000000000000000e+00 4.471800994873046875e+01 0.000000000000000000e+00
3.100000000000000000e+01 0.000000000000000000e+00 3.228451919555664062e+01 0.000000000000000000e+00
3.100000000000000000e+01 1.000000000000000000e+00 3.357672882080078125e+01 0.000000000000000000e+00
3.100000000000000000e+01 6.000000000000000000e+00 4.454219818115234375e+01 1.435592651367187500e+00
3.100000000000000000e+01 7.000000000000000000e+00 4.225907135009765625e+01 0.000000000000000000e+00
3.200000000000000000e+01 0.000000000000000000e+00 3.446934890747070312e+01 0.000000000000000000e+00
3.200000000000000000e+01 3.000000000000000000e+00 3.098550796508789062e+01 0.000000000000000000e+00
3.200000000000000000e+01 4.000000000000000000e+00 4.138051223754882812e+01 0.000000000000000000e+00
3.200000000000000000e+01 5.000000000000000000e+00 4.847863006591796875e+01 0.000000000000000000e+00
3.200000000000000000e+01 6.000000000000000000e+00 4.753010559082031250e+01 0.000000000000000000e+00
3.200000000000000000e+01 7.000000000000000000e+00 4.663684272766113281e+01 6.977100372314453125e-01
3.200000000000000000e+01 8.000000000000000000e+00 4.616692352294921875e+01 0.000000000000000000e+00
3.200000000000000000e+01 9.000000000000000000e+00 2.893572807312011719e+01 0.000000000000000000e+00
3.200000000000000000e+01 1.400000000000000000e+01 3.363177490234375000e+01 0.000000000000000000e+00
3.300000000000000000e+01 0.000000000000000000e+00 3.542858505249023438e+01 1.168853759765625000e+00
3.300000000000000000e+01 2.000000000000000000e+00 2.706921958923339844e+01 0.000000000000000000e+00
3.300000000000000000e+01 3.000000000000000000e+00 4.124903488159179688e+01 0.000000000000000000e+00
3.300000000000000000e+01 6.000000000000000000e+00 4.342817687988281250e+01 4.377288818359375000e+00
3.300000000000000000e+01 9.000000000000000000e+00 4.138577270507812500e+01 0.000000000000000000e+00
3.300000000000000000e+01 1.300000000000000000e+01 3.920159530639648438e+01 0.000000000000000000e+00
3.400000000000000000e+01 0.000000000000000000e+00 3.765295410156250000e+01 0.000000000000000000e+00
3.400000000000000000e+01 2.000000000000000000e+00 3.393357849121093750e+01 4.917602539062500000e-01
3.400000000000000000e+01 3.000000000000000000e+00 3.893928146362304688e+01 0.000000000000000000e+00
3.400000000000000000e+01 6.000000000000000000e+00 4.896932220458984375e+01 0.000000000000000000e+00
3.400000000000000000e+01 7.000000000000000000e+00 5.047111892700195312e+01 0.000000000000000000e+00
3.400000000000000000e+01 8.000000000000000000e+00 5.163792419433593750e+01 1.995948791503906250e+00
3.400000000000000000e+01 9.000000000000000000e+00 4.002183532714843750e+01 0.000000000000000000e+00
3.400000000000000000e+01 1.400000000000000000e+01 4.634650039672851562e+01 0.000000000000000000e+00
3.500000000000000000e+01 0.000000000000000000e+00 3.150454330444335938e+01 7.037441383911538395e+00
3.500000000000000000e+01 2.000000000000000000e+00 4.014067840576171875e+01 0.000000000000000000e+00
3.500000000000000000e+01 3.000000000000000000e+00 3.979793167114257812e+01 0.000000000000000000e+00
3.500000000000000000e+01 5.000000000000000000e+00 4.081170272827148438e+01 0.000000000000000000e+00
3.500000000000000000e+01 6.000000000000000000e+00 5.081276702880859375e+01 0.000000000000000000e+00
3.500000000000000000e+01 7.000000000000000000e+00 4.921568679809570312e+01 1.509685516357421875e+00
3.500000000000000000e+01 8.000000000000000000e+00 4.866852569580078125e+01 0.000000000000000000e+00
3.500000000000000000e+01 9.000000000000000000e+00 4.886833572387695312e+01 0.000000000000000000e+00
3.600000000000000000e+01 0.000000000000000000e+00 3.882539749145507812e+01 1.811206817626953125e+00
3.600000000000000000e+01 1.000000000000000000e+00 3.349652099609375000e+01 0.000000000000000000e+00
3.600000000000000000e+01 2.000000000000000000e+00 4.083472061157226562e+01 0.000000000000000000e+00
3.600000000000000000e+01 4.000000000000000000e+00 4.139884567260742188e+01 3.831748962402343750e-01
3.600000000000000000e+01 6.000000000000000000e+00 4.625845146179199219e+01 2.749739664319178711e+00
3.600000000000000000e+01 8.000000000000000000e+00 5.207287597656250000e+01 1.676086425781250000e+00
3.600000000000000000e+01 1.100000000000000000e+01 4.650941467285156250e+01 0.000000000000000000e+00
3.600000000000000000e+01 1.200000000000000000e+01 4.595836639404296875e+01 2.576339721679687500e+00
3.700000000000000000e+01 0.000000000000000000e+00 4.132567214965820312e+01 3.115653991699218750e-01
3.700000000000000000e+01 1.000000000000000000e+00 4.049672063191732008e+01 1.944483125934235668e+00
3.700000000000000000e+01 2.000000000000000000e+00 4.062987518310546875e+01 0.000000000000000000e+00
3.700000000000000000e+01 6.000000000000000000e+00 5.224406178792317945e+01 7.432549096294720492e-01
3.700000000000000000e+01 7.000000000000000000e+00 5.214815521240234375e+01 0.000000000000000000e+00
3.700000000000000000e+01 8.000000000000000000e+00 5.240830612182617188e+01 0.000000000000000000e+00
3.700000000000000000e+01 1.100000000000000000e+01 5.294272041320800781e+01 2.131824493408203125e-01
3.700000000000000000e+01 1.200000000000000000e+01 4.740284729003906250e+01 0.000000000000000000e+00
3.800000000000000000e+01 0.000000000000000000e+00 3.887466621398925781e+01 1.148981094360351562e+00
3.800000000000000000e+01 3.000000000000000000e+00 3.366364002227783203e+01 5.614497184753417969e+00
3.800000000000000000e+01 6.000000000000000000e+00 5.244770431518554688e+01 2.395999908447265625e+00
3.800000000000000000e+01 9.000000000000000000e+00 4.115577316284179688e+01 1.024247360229492188e+01
3.900000000000000000e+01 0.000000000000000000e+00 4.410652160644531250e+01 5.825881958007812500e-01
3.900000000000000000e+01 1.000000000000000000e+00 4.655030822753906250e+01 0.000000000000000000e+00
3.900000000000000000e+01 2.000000000000000000e+00 4.655593681335449219e+01 1.086492538452148438e+00
3.900000000000000000e+01 3.000000000000000000e+00 3.890613555908203125e+01 0.000000000000000000e+00
3.900000000000000000e+01 4.000000000000000000e+00 4.791863250732421875e+01 2.887260437011718750e+00
3.900000000000000000e+01 6.000000000000000000e+00 5.140026982625325758e+01 1.813508962888715992e+00
3.900000000000000000e+01 7.000000000000000000e+00 4.979350280761718750e+01 0.000000000000000000e+00
3.900000000000000000e+01 8.000000000000000000e+00 4.541874504089355469e+01 9.957574844360351562e+00
3.900000000000000000e+01 9.000000000000000000e+00 5.199081420898437500e+01 0.000000000000000000e+00
4.000000000000000000e+01 0.000000000000000000e+00 3.804777908325195312e+01 0.000000000000000000e+00
4.000000000000000000e+01 1.000000000000000000e+00 4.458158302307128906e+01 1.586004257202148438e+00
4.000000000000000000e+01 2.000000000000000000e+00 4.360753250122070312e+01 0.000000000000000000e+00
4.000000000000000000e+01 3.000000000000000000e+00 4.474365997314453125e+01 9.496841430664062500e-01
4.000000000000000000e+01 5.000000000000000000e+00 4.557152938842773438e+01 0.000000000000000000e+00
4.000000000000000000e+01 6.000000000000000000e+00 5.348879146575927734e+01 1.211938727436224772e+00
4.000000000000000000e+01 9.000000000000000000e+00 4.375022125244140625e+01 0.000000000000000000e+00
4.100000000000000000e+01 0.000000000000000000e+00 4.110312938690185547e+01 1.959800972573990441e+00
4.100000000000000000e+01 2.000000000000000000e+00 4.818844032287597656e+01 2.156892776489257812e+00
4.100000000000000000e+01 4.000000000000000000e+00 5.228588867187500000e+01 0.000000000000000000e+00
4.100000000000000000e+01 6.000000000000000000e+00 4.592674001057942945e+01 4.240890639128894968e+00
4.100000000000000000e+01 8.000000000000000000e+00 5.315855280558267992e+01 8.361449511589310601e-01
4.200000000000000000e+01 0.000000000000000000e+00 4.636077117919921875e+01 1.327141002220053601e+00
4.200000000000000000e+01 1.000000000000000000e+00 4.808893585205078125e+01 0.000000000000000000e+00
4.200000000000000000e+01 5.000000000000000000e+00 4.677904510498046875e+01 3.239602668221542636e+00
4.200000000000000000e+01 6.000000000000000000e+00 5.268461799621582031e+01 1.675356536684816433e+00
4.200000000000000000e+01 7.000000000000000000e+00 5.190386962890625000e+01 0.000000000000000000e+00
4.300000000000000000e+01 0.000000000000000000e+00 4.745961252848307055e+01 2.038013694346120896e+00
4.300000000000000000e+01 1.000000000000000000e+00 4.584309005737304688e+01 0.000000000000000000e+00
4.300000000000000000e+01 2.000000000000000000e+00 4.817317962646484375e+01 0.000000000000000000e+00
4.300000000000000000e+01 4.000000000000000000e+00 5.120916366577148438e+01 0.000000000000000000e+00
4.300000000000000000e+01 5.000000000000000000e+00 5.179180653889974195e+01 2.638162710223286744e+00
4.300000000000000000e+01 6.000000000000000000e+00 5.064382266998291016e+01 3.550389525228119236e+00
4.300000000000000000e+01 7.000000000000000000e+00 5.236281394958496094e+01 2.152032852172851562e+00
4.300000000000000000e+01 8.000000000000000000e+00 5.130002593994140625e+01 0.000000000000000000e+00
4.400000000000000000e+01 0.000000000000000000e+00 4.723724842071533203e+01 2.760793092084724787e+00
4.400000000000000000e+01 1.000000000000000000e+00 4.189903259277343750e+01 0.000000000000000000e+00
4.400000000000000000e+01 3.000000000000000000e+00 5.497318553924560547e+01 4.461348045702437481e+00
4.400000000000000000e+01 4.000000000000000000e+00 4.948288726806640625e+01 1.915687561035156250e+00
4.400000000000000000e+01 5.000000000000000000e+00 5.441190338134765625e+01 0.000000000000000000e+00
4.400000000000000000e+01 6.000000000000000000e+00 5.064371871948242188e+01 3.789043426513671875e+00
4.400000000000000000e+01 8.000000000000000000e+00 5.089225006103515625e+01 0.000000000000000000e+00
4.500000000000000000e+01 0.000000000000000000e+00 4.653180503845214844e+01 2.949872547108222332e+00
4.500000000000000000e+01 1.000000000000000000e+00 5.171555328369140625e+01 0.000000000000000000e+00
4.500000000000000000e+01 2.000000000000000000e+00 5.225748697916666430e+01 2.666652951157828966e+00
4.500000000000000000e+01 3.000000000000000000e+00 4.922233581542968750e+01 1.716400548416941785e+00
4.500000000000000000e+01 5.000000000000000000e+00 5.279676055908203125e+01 0.000000000000000000e+00
4.500000000000000000e+01 7.000000000000000000e+00 5.429019165039062500e+01 0.000000000000000000e+00
4.500000000000000000e+01 9.000000000000000000e+00 5.280429840087890625e+01 0.000000000000000000e+00
4.600000000000000000e+01 0.000000000000000000e+00 4.744481913248697680e+01 2.037886337723034291e+00
4.600000000000000000e+01 2.000000000000000000e+00 5.110422706604003906e+01 3.574407577514648438e+00
4.600000000000000000e+01 3.000000000000000000e+00 5.215464591979980469e+01 1.813825607299804688e+00
4.600000000000000000e+01 4.000000000000000000e+00 5.322678375244140625e+01 0.000000000000000000e+00
4.600000000000000000e+01 9.000000000000000000e+00 5.329656982421875000e+01 5.314025878906250000e-01
4.700000000000000000e+01 0.000000000000000000e+00 4.203243541717529297e+01 1.013497509146828079e+01
4.700000000000000000e+01 1.000000000000000000e+00 4.863045501708984375e+01 0.000000000000000000e+00
4.700000000000000000e+01 2.000000000000000000e+00 5.032585144042968750e+01 1.965484619140625000e-01
4.700000000000000000e+01 3.000000000000000000e+00 5.482392501831054688e+01 1.289264678955078125e+00
4.700000000000000000e+01 4.000000000000000000e+00 5.263442993164062500e+01 0.000000000000000000e+00
4.700000000000000000e+01 6.000000000000000000e+00 4.848236083984375000e+01 0.000000000000000000e+00
4.700000000000000000e+01 9.000000000000000000e+00 5.239030965169271070e+01 1.969102927739839304e+00
4.700000000000000000e+01 1.100000000000000000e+01 5.090359497070312500e+01 0.000000000000000000e+00
4.800000000000000000e+01 0.000000000000000000e+00 4.610375322614397220e+01 7.368064290404026551e+00
4.800000000000000000e+01 1.000000000000000000e+00 4.835183715820312500e+01 1.716201782226562500e+00
4.800000000000000000e+01 2.000000000000000000e+00 4.853397623697916430e+01 1.472188973752531549e+00
4.800000000000000000e+01 3.000000000000000000e+00 5.328013992309570312e+01 2.864189147949218750e-01
4.800000000000000000e+01 7.000000000000000000e+00 5.104567337036132812e+01 0.000000000000000000e+00
4.800000000000000000e+01 8.000000000000000000e+00 4.622398185729980469e+01 2.727289199829101562e+00
4.800000000000000000e+01 9.000000000000000000e+00 5.088446426391601562e+01 0.000000000000000000e+00
4.800000000000000000e+01 1.100000000000000000e+01 5.024404907226562500e+01 0.000000000000000000e+00
4.900000000000000000e+01 0.000000000000000000e+00 4.571470514933267992e+01 8.505481114378870444e+00
4.900000000000000000e+01 1.000000000000000000e+00 5.147730255126953125e+01 0.000000000000000000e+00
4.900000000000000000e+01 3.000000000000000000e+00 4.970807266235351562e+01 0.000000000000000000e+00
4.900000000000000000e+01 9.000000000000000000e+00 5.200770416259765483e+01 1.390477057760807655e+00
4.900000000000000000e+01 1.100000000000000000e+01 5.435421752929687500e+01 0.000000000000000000e+00
5.000000000000000000e+01 0.000000000000000000e+00 4.870625686645507812e+01 3.398653220613924830e+00
5.000000000000000000e+01 6.000000000000000000e+00 4.862368265787760180e+01 1.713764216452640765e+00
5.000000000000000000e+01 7.000000000000000000e+00 5.101044464111328125e+01 0.000000000000000000e+00
5.000000000000000000e+01 9.000000000000000000e+00 5.169297790527343750e+01 0.000000000000000000e+00
5.000000000000000000e+01 1.000000000000000000e+01 5.169490051269531250e+01 4.606552124023437500e-01
5.000000000000000000e+01 1.100000000000000000e+01 5.376353073120117188e+01 0.000000000000000000e+00
5.100000000000000000e+01 0.000000000000000000e+00 4.781339263916015625e+01 2.796615600585937500e+00
5.100000000000000000e+01 3.000000000000000000e+00 4.861067199707031250e+01 5.498271166338197791e-01
5.100000000000000000e+01 9.000000000000000000e+00 4.887578201293945312e+01 0.000000000000000000e+00
5.100000000000000000e+01 1.000000000000000000e+01 5.363458633422851562e+01 6.451110839843750000e-01
5.100000000000000000e+01 1.200000000000000000e+01 5.212492752075195312e+01 0.000000000000000000e+00
5.200000000000000000e+01 3.000000000000000000e+00 4.954901250203450758e+01 1.805467782634790241e+00
5.200000000000000000e+01 5.000000000000000000e+00 4.897636413574218750e+01 0.000000000000000000e+00
5.200000000000000000e+01 9.000000000000000000e+00 5.362540626525878906e+01 6.568546295166015625e-01
5.200000000000000000e+01 1.000000000000000000e+01 5.129562377929687500e+01 0.000000000000000000e+00
5.200000000000000000e+01 1.100000000000000000e+01 5.451002120971679688e+01 1.090076446533203125e+00
5.300000000000000000e+01 2.000000000000000000e+00 4.583251190185546875e+01 0.000000000000000000e+00
5.300000000000000000e+01 3.000000000000000000e+00 5.174591445922851562e+01 0.000000000000000000e+00
5.300000000000000000e+01 4.000000000000000000e+00 4.892903137207031250e+01 0.000000000000000000e+00
5.300000000000000000e+01 5.000000000000000000e+00 5.155081558227539062e+01 0.000000000000000000e+00
5.300000000000000000e+01 1.000000000000000000e+01 5.286645793914794922e+01 9.230437790566566880e-01
5.300000000000000000e+01 1.100000000000000000e+01 5.181210327148437500e+01 1.154632568359375000e+00
5.300000000000000000e+01 1.200000000000000000e+01 5.193338394165039062e+01 3.120557223676006409e+00
5.400000000000000000e+01 1.000000000000000000e+00 4.833244705200195312e+01 8.149604797363281250e-01
5.400000000000000000e+01 2.000000000000000000e+00 4.201571655273437500e+01 0.000000000000000000e+00
5.400000000000000000e+01 3.000000000000000000e+00 4.839768409729003906e+01 1.121759026233634327e+00
5.400000000000000000e+01 5.000000000000000000e+00 4.851665687561035156e+01 1.448614120483398438e+00
5.400000000000000000e+01 1.100000000000000000e+01 5.254418945312500000e+01 0.000000000000000000e+00
5.400000000000000000e+01 1.200000000000000000e+01 5.509514617919921875e+01 2.555587768554687500e+00
5.500000000000000000e+01 0.000000000000000000e+00 4.658873367309570312e+01 1.830758035441973908e+00
5.500000000000000000e+01 3.000000000000000000e+00 4.737493896484375000e+01 8.979797363281250000e-01
5.500000000000000000e+01 4.000000000000000000e+00 5.027139282226562500e+01 1.117286682128906250e+00
5.500000000000000000e+01 5.000000000000000000e+00 5.185016632080078125e+01 0.000000000000000000e+00
5.500000000000000000e+01 1.000000000000000000e+01 5.267460632324218750e+01 0.000000000000000000e+00
5.500000000000000000e+01 1.100000000000000000e+01 5.252278518676757812e+01 0.000000000000000000e+00
5.500000000000000000e+01 1.200000000000000000e+01 5.028813552856445312e+01 1.230407714843750000e+00
